t,gt_x,gt_y,odom_x,odom_y,ekf_x,ekf_y,ekf_theta,Pxx,Pxy,Pxt,Pyy,Pyt,Ptt,lambda_min,warn
1.486,0.5,0.9,0.499874,0.9,0.499874,0.9,-0.000892395,0.00250021,0,0,0.0025,-5.0593e-08,0.000402,5.49493e+06,0
1.506,0.5,0.9,0.4999,0.9,0.49557,0.908304,-0.000566212,0.00233369,-2.04505e-10,1.24281e-11,0.00233333,-3.63159e-08,0.000399437,5.49493e+06,0
1.526,0.500001,0.9,0.499512,0.9,0.495182,0.908305,-0.00114671,0.00233404,-4.04164e-10,-7.52679e-11,0.00233333,-1.91198e-07,0.000401439,5.49493e+06,0
1.546,0.500003,0.9,0.499986,0.9,0.491993,0.915559,-0.00156579,0.00218853,-9.45603e-10,2.0402e-10,0.0021875,1.11172e-08,0.000398889,5.48629e+06,0
1.566,0.500005,0.9,0.500099,0.9,0.492105,0.915559,-0.00179706,0.00218874,-1.27126e-09,2.74065e-10,0.0021875,5.58518e-08,0.000400893,5.48629e+06,0
1.586,0.502558,0.9,0.503822,0.899998,0.495829,0.915552,-0.000278557,0.00219385,-1.04522e-08,2.9565e-09,0.00218751,1.54853e-06,0.000402898,5.48629e+06,0
1.606,0.507098,0.9,0.508226,0.900001,0.500233,0.915551,0.000521998,0.00220062,-1.2321e-08,3.45077e-09,0.00218753,3.32287e-06,0.000404903,5.48629e+06,0
1.626,0.512438,0.9,0.5135,0.900009,0.505506,0.915554,0.00106005,0.00220985,-7.50363e-09,2.33613e-09,0.00218757,5.45826e-06,0.000406909,5.48629e+06,0
1.646,0.518578,0.9,0.519929,0.90002,0.508208,0.922028,0.000893573,0.00209167,2.81291e-09,2.97248e-10,0.00205897,7.6643e-06,0.000404239,5.45212e+06,0
1.666,0.525518,0.9,0.526486,0.900033,0.514765,0.922034,0.00112146,0.0021052,1.4846e-08,-2.07131e-09,0.00205909,1.0315e-05,0.000406247,5.45212e+06,0
1.686,0.533258,0.9,0.535024,0.900049,0.523303,0.922043,0.000695089,0.002127,3.91434e-08,-5.96119e-09,0.00205929,1.37836e-05,0.000408256,5.45212e+06,0
1.706,0.541798,0.9,0.543829,0.900058,0.532108,0.92205,-0.000469478,0.00215007,5.50162e-08,-8.45993e-09,0.00205957,1.73785e-05,0.000410265,5.45212e+06,0
1.726,0.551138,0.9,0.553184,0.900065,0.537305,0.927006,-9.62358e-05,0.00205141,3.1715e-08,-5.35766e-09,0.00194544,2.00162e-05,0.000407515,5.2725e+06,0
1.746,0.561096,0.9,0.562816,0.900071,0.546937,0.927005,-0.000970802,0.00207862,2.90673e-08,-4.97997e-09,0.00194586,2.39417e-05,0.000409526,5.2725e+06,0
1.766,0.571096,0.9,0.57288,0.900076,0.557001,0.926996,-0.000466235,0.00210812,6.49484e-10,-9.79077e-10,0.00194639,2.80632e-05,0.000411538,5.2725e+06,0
1.786,0.581096,0.9,0.582734,0.900084,0.566855,0.926991,-0.000125944,0.0021365,-1.24448e-08,9.11823e-10,0.00194698,3.21192e-05,0.000413552,5.2725e+06,0
1.806,0.591096,0.9,0.592739,0.900096,0.57686,0.92699,0.00022785,0.00216569,-1.60659e-08,1.43297e-09,0.00194766,3.62572e-05,0.000415566,5.2725e+06,0
1.826,0.601096,0.9,0.60257,0.900112,0.586691,0.926992,0.000712983,0.00219394,-9.70476e-09,5.02162e-10,0.00194842,4.0343e-05,0.000417581,5.2725e+06,0
1.846,0.611096,0.9,0.612171,0.900125,0.590777,0.930291,-0.00037983,0.00209158,8.08123e-09,-2.01028e-09,0.00184639,4.17272e-05,0.000414631,4.99892e+06,0
1.866,0.621096,0.9,0.622028,0.900132,0.600634,0.930287,-0.000627603,0.00211997,-2.55248e-09,-4.57831e-10,0.00184726,4.5815e-05,0.000416648,4.99892e+06,0
1.886,0.631096,0.9,0.631893,0.900137,0.610499,0.930281,-0.000760351,0.0021484,-2.0092e-08,2.12166e-09,0.0018482,4.99257e-05,0.000418666,4.99892e+06,0
1.906,0.641096,0.9,0.641655,0.900144,0.620261,0.930273,-0.000454641,0.00217629,-4.08771e-08,5.22946e-09,0.00184921,5.40136e-05,0.000420685,4.99892e+06,0
1.926,0.651096,0.9,0.651664,0.90015,0.624839,0.932742,-0.000830411,0.0020781,-5.00032e-08,6.87919e-09,0.0017574,5.48544e-05,0.000417631,4.78436e+06,0
1.946,0.661096,0.9,0.661752,0.90015,0.634927,0.932733,-0.00154409,0.00210774,-7.40498e-08,1.0378e-08,0.00175855,5.90684e-05,0.000419652,4.78436e+06,0
1.966,0.671096,0.9,0.671276,0.900149,0.644452,0.932719,-0.00128433,0.00213439,-1.14171e-07,1.65501e-08,0.00175971,6.30664e-05,0.000421674,4.78436e+06,0
1.986,0.681096,0.9,0.68153,0.900147,0.654706,0.932705,-0.00154548,0.00216494,-1.52348e-07,2.21039e-08,0.00176105,6.73915e-05,0.000423697,4.78436e+06,0
2.006,0.691096,0.9,0.691866,0.90014,0.665041,0.932689,-0.00225389,0.00219593,-1.9888e-07,2.88723e-08,0.00176249,7.17717e-05,0.000425721,4.78436e+06,0
2.026,0.701096,0.9,0.701013,0.900132,0.674188,0.932669,-0.00196009,0.00222067,-2.52809e-07,3.76503e-08,0.00176383,7.56673e-05,0.000427746,4.78436e+06,0
2.046,0.711096,0.9,0.710956,0.900124,0.677005,0.934557,-0.00218165,0.00211704,-2.79223e-07,4.34091e-08,0.00168052,7.53694e-05,0.000424455,4.54227e+06,0
2.066,0.721095,0.9,0.720285,0.900114,0.686333,0.934537,-0.0022904,0.00214268,-3.33157e-07,5.2049e-08,0.00168196,7.93305e-05,0.000426482,4.54227e+06,0
