t,gt_x,gt_y,odom_x,odom_y,ekf_x,ekf_y,ekf_theta,Pxx,Pxy,Pxt,Pyy,Pyt,Ptt,lambda_min,warn
1.022,0.5,0.9,0.499874,0.9,0.495541,0.908409,-0.00121393,0.00233355,-6.93881e-11,-1.61761e-11,0.00233333,-5.00271e-08,0.000397481,5.49861e+06,0
1.042,0.5,0.9,0.4999,0.9,0.495567,0.908409,-0.000580199,0.00233372,-2.76569e-10,-3.51395e-12,0.00233333,-3.95963e-08,0.000399482,5.49861e+06,0
1.062,0.500001,0.9,0.499513,0.9,0.49518,0.908409,-0.00116314,0.00233407,-4.80915e-10,-9.32263e-11,0.00233333,-1.9422e-07,0.000401484,5.49861e+06,0
1.082,0.500003,0.9,0.499989,0.9,0.495656,0.908408,-0.00127832,0.00233448,-9.54437e-10,1.29074e-10,0.00233333,-3.09933e-09,0.000403487,5.49861e+06,0
1.102,0.500005,0.9,0.500103,0.9,0.495771,0.908408,-0.00151301,0.00233469,-1.22183e-09,1.88265e-10,0.00233333,4.32042e-08,0.00040549,5.49861e+06,0
1.122,0.502485,0.9,0.503704,0.899998,0.495567,0.915879,-0.000326004,0.00219353,-9.95514e-09,2.82513e-09,0.00218751,1.48346e-06,0.000402851,5.5009e+06,0
1.142,0.506901,0.9,0.507988,0.900001,0.499851,0.915877,0.000480987,0.00219999,-1.2045e-08,3.38776e-09,0.00218753,3.20925e-06,0.000404856,5.5009e+06,0
1.162,0.512121,0.9,0.513142,0.900008,0.505004,0.91588,0.00101751,0.00220886,-7.77829e-09,2.38418e-09,0.00218757,5.29581e-06,0.000406862,5.5009e+06,0
1.182,0.518141,0.9,0.519451,0.900019,0.511314,0.915886,0.00119592,0.00222149,5.04339e-09,-2.27841e-10,0.00218765,7.86292e-06,0.00040887,5.5009e+06,0
1.202,0.524961,0.9,0.525888,0.900032,0.517751,0.915894,0.00142408,0.00223458,2.06203e-08,-3.37545e-09,0.00218777,1.04949e-05,0.000410877,5.5009e+06,0
1.222,0.532581,0.9,0.534306,0.900048,0.522044,0.921853,0.000721109,0.00212172,4.24669e-08,-7.06461e-09,0.00205925,1.31816e-05,0.000408116,5.39193e+06,0
1.242,0.541001,0.9,0.542991,0.900057,0.530729,0.921859,-0.000439859,0.00214421,5.85197e-08,-9.62069e-09,0.00205951,1.67262e-05,0.000410126,5.39193e+06,0
1.262,0.550221,0.9,0.552226,0.900064,0.539964,0.921855,0.000139716,0.00216939,4.74405e-08,-7.95481e-09,0.00205986,2.05139e-05,0.000412136,5.39193e+06,0
1.282,0.560131,0.9,0.561859,0.90007,0.549597,0.921857,-0.000729664,0.0021966,5.11323e-08,-8.50954e-09,0.00206029,2.4484e-05,0.000414148,5.39193e+06,0
1.302,0.570131,0.9,0.571922,0.900075,0.55966,0.921849,-0.000228905,0.0022261,2.97296e-08,-5.46855e-09,0.00206083,2.8652e-05,0.00041616,5.39193e+06,0
1.322,0.580131,0.9,0.581777,0.900083,0.569515,0.921847,0.000111978,0.00225448,2.32531e-08,-4.52981e-09,0.00206143,3.27535e-05,0.000418174,5.39193e+06,0
1.342,0.590131,0.9,0.591782,0.900095,0.574132,0.926174,0.000328043,0.00214724,1.9747e-08,-4.10338e-09,0.0019474,3.47011e-05,0.000415222,5.11397e+06,0
1.362,0.600131,0.9,0.601612,0.900111,0.583963,0.926178,0.000807931,0.00217549,2.88497e-08,-5.44247e-09,0.00194812,3.87835e-05,0.000417237,5.11397e+06,0
1.382,0.610131,0.9,0.611213,0.900125,0.593564,0.926185,-0.000187455,0.00220253,5.03164e-08,-8.6791e-09,0.0019489,4.27899e-05,0.000419254,5.11397e+06,0
1.402,0.620131,0.9,0.621071,0.900132,0.603421,0.926184,-0.000437566,0.00223093,4.49947e-08,-7.90449e-09,0.00194979,4.69234e-05,0.000421271,5.11397e+06,0
1.422,0.630131,0.9,0.630935,0.900138,0.613286,0.926179,-0.000562087,0.00225936,3.26963e-08,-6.08621e-09,0.00195075,5.10797e-05,0.000423289,5.11397e+06,0
1.442,0.640131,0.9,0.640698,0.900144,0.617113,0.92933,-0.00030064,0.00215025,1.25846e-08,-3.23708e-09,0.00184867,5.18879e-05,0.000420181,4.84318e+06,0
1.462,0.650131,0.9,0.650706,0.90015,0.627121,0.929327,-0.000664478,0.00217945,3.94014e-09,-1.97272e-09,0.00184975,5.60943e-05,0.000422201,4.84318e+06,0
1.482,0.660131,0.9,0.660794,0.900151,0.637209,0.92932,-0.00136885,0.00220909,-1.53683e-08,8.5749e-10,0.00185093,6.03544e-05,0.000424222,4.84318e+06,0
1.502,0.670131,0.9,0.670319,0.90015,0.646734,0.929307,-0.00110257,0.00223574,-5.09986e-08,6.38855e-09,0.00185212,6.43959e-05,0.000426244,4.84318e+06,0
1.522,0.680131,0.9,0.680573,0.900148,0.656988,0.929296,-0.00137451,0.00226629,-8.3837e-08,1.12079e-08,0.00185348,6.87678e-05,0.000428267,4.84318e+06,0
1.542,0.690131,0.9,0.690908,0.900142,0.660438,0.931506,-0.00202655,0.00215947,-1.14639e-07,1.63111e-08,0.00176152,6.88927e-05,0.000424988,4.62889e+06,0
1.562,0.700131,0.9,0.700055,0.900134,0.669585,0.931488,-0.00172122,0.0021842,-1.6327e-07,2.41899e-08,0.00176282,7.27814e-05,0.000427013,4.62889e+06,0
1.582,0.710131,0.9,0.709999,0.900126,0.679529,0.931471,-0.00200907,0.00221306,-2.11379e-07,3.14991e-08,0.00176431,7.70289e-05,0.000429039,4.62889e+06,0
1.602,0.72013,0.9,0.719327,0.900117,0.688857,0.931452,-0.0021251,0.0022387,-2.61093e-07,3.95413e-08,0.00176578,8.10328e-05,0.000431066,4.62889e+06,0
1.622,0.730127,0.9,0.729718,0.900112,0.699248,0.93143,-0.000883362,0.00227001,-3.25323e-07,4.9061e-08,0.00176751,8.55135e-05,0.000433094,4.3702e+06,0
1.642,0.740124,0.9,0.740565,0.90011,0.702977,0.93318,-0.00148426,0.00216567,-3.17169e-07,4.99727e-08,0.00168415,8.50484e-05,0.000429636,4.3702e+06,0
1.662,0.75012,0.9,0.750715,0.900102,0.713127,0.933165,-0.00211429,0.00219564,-3.59802e-07,5.64467e-08,0.00168592,8.94109e-05,0.000431666,4.3702e+06,0
1.682,0.760115,0.9,0.760528,0.900088,0.72294,0.933145,-0.00256634,0.0022238,-4.1684e-07,6.54047e-08,0.00168772,9.36489e-05,0.000433697,4.3702e+06,0
1.702,0.770109,0.9,0.770586,0.900073,0.732998,0.933119,-0.00244272,0.00225327,-4.89298e-07,7.66022e-08,0.00168965,9.80134e-05,0.000435729,4.3702e+06,0
1.722,0.780103,0.9,0.780416,0.900063,0.739277,0.934603,-0.0015228,0.00214523,-5.04694e-07,8.26275e-08,0.00161345,9.65807e-05,0.000432149,3.68235e+06,0
1.742,0.790097,0.9,0.789919,0.900063,0.748781,0.934588,-0.000439032,0.00217177,-5.4287e-07,8.88847e-08,0.00161532,0.00010069,0.000434183,3.68235e+06,0
1.762,0.80009,0.9,0.799759,0.900074,0.758621,0.934584,0.000775436,0.00220008,-5.53967e-07,9.07635e-08,0.00161734,0.000104965,0.000436219,3.68235e+06,0
1.782,0.810083,0.9,0.809595,0.900088,0.768456,0.934591,0.000157935,0.00222835,-5.3198e-07,8.74394e-08,0.00161945,0.000109258,0.000438255,3.68235e+06,0
1.802,0.820078,0.9,0.819626,0.900101,0.778487,0.934593,0.00040852,0.00225768,-5.26651e-07,8.6748e-08,0.00162169,0.000113657,0.000440293,3.68235e+06,0
1.822,0.830073,0.9,0.829134,0.900114,0.789742,0.935761,0.000225838,0.00214744,-4.65809e-07,8.09467e-08,0.00155162,0.00011141,0.000436518,2.82837e+06,0
1.842,0.840069,0.9,0.839142,0.900131,0.799751,0.935763,0.000874863,0.00217664,-4.58665e-07,7.99626e-08,0.0015539,0.000115782,0.000438557,2.82837e+06,0
1.862,0.850066,0.9,0.849674,0.900156,0.810283,0.935772,0.00158313,0.00220875,-4.30846e-07,7.59241e-08,0.00155638,0.000120404,0.000440598,2.82837e+06,0
1.882,0.860063,0.9,0.859742,0.900182,0.820351,0.935788,0.0014279,0.00223828,-3.85322e-07,6.89034e-08,0.00155885,0.000124844,0.00044264,2.82837e+06,0
1.902,0.870061,0.9,0.870491,0.900211,0.831099,0.935803,0.00159778,0.00227162,-3.3896e-07,6.21114e-08,0.00156159,0.000129605,0.000444684,2.82837e+06,0
1.922,0.88006,0.9,0.880616,0.900233,0.843185,0.936611,0.000398165,0.00216301,-2.63965e-07,5.24331e-08,0.00149698,0.00012696,0.000440701,2.55553e+06,0
1.942,0.890058,0.9,0.890549,0.900248,0.853118,0.936615,-5.40826e-05,0.00219181,-2.52496e-07,5.06913e-08,0.00149955,0.000131341,0.000442746,2.55553e+06,0
