t,gt_x,gt_y,odom_x,odom_y,ekf_x,ekf_y,ekf_theta,Pxx,Pxy,Pxt,Pyy,Pyt,Ptt,lambda_min,warn
1.04,0.5,0.9,0.499846,0.9,0.499659,0.9,-0.000893742,0.00250033,0,0,0.0025,-1.36487e-07,0.000402,nan,0
1.06,0.5,0.9,0.500315,0.9,0.499846,0.9,-0.00146666,0.00250057,-2.17676e-10,6.71876e-11,0.0025,-6.13114e-08,0.000404002,nan,0
1.08,0.5,0.9,0.500487,0.899999,0.499826,0.9,-0.00211648,0.00250074,-4.64202e-10,5.53546e-11,0.0025,-6.93794e-08,0.000406004,5.4836e+06,0
1.1,0.5,0.9,0.500282,0.899999,0.500315,0.899999,-0.00221554,0.00250115,-1.34321e-09,4.75567e-10,0.0025,1.29163e-07,0.000408006,5.4836e+06,0
1.12,0.5,0.9,0.500282,0.899999,0.49618,0.908553,-0.00225347,0.00233457,-1.76902e-09,6.14918e-10,0.00233333,1.88665e-07,0.000405309,5.4836e+06,0
1.14,0.5,0.9,0.500282,0.899999,0.495976,0.908554,-0.000730989,0.00233483,-2.3381e-09,4.27776e-10,0.00233333,1.05619e-07,0.000407313,5.4836e+06,0
1.16,0.5,0.9,0.500543,0.9,0.496236,0.908554,-0.00129526,0.00233511,-2.54337e-09,5.05261e-10,0.00233333,2.11618e-07,0.000409318,5.4836e+06,0
1.18,0.500148,0.9,0.501202,0.9,0.496584,0.908553,-0.00118493,0.00233544,-2.97022e-09,6.90066e-10,0.00233333,3.54297e-07,0.000411325,5.4836e+06,0
1.2,0.500148,0.9,0.501202,0.9,0.496895,0.908553,-0.000997551,0.00233575,-3.33531e-09,8.41528e-10,0.00233333,4.82119e-07,0.000413332,5.4836e+06,0
1.22,0.500999,0.9,0.502054,0.9,0.493968,0.916,-0.00232327,0.0021903,-3.83766e-09,1.24291e-09,0.0021875,7.94829e-07,0.000410515,5.50317e+06,0
1.24,0.502606,0.9,0.504449,0.899999,0.492888,0.92258,-0.00305507,0.00206386,-1.01157e-08,3.7191e-09,0.00205883,1.71115e-06,0.000407765,5.48839e+06,0
1.26,0.504971,0.9,0.507067,0.899995,0.495506,0.922572,-0.0026156,0.00206678,-1.90096e-08,6.98126e-09,0.00205884,2.77894e-06,0.000409775,5.48839e+06,0
1.28,0.508092,0.9,0.510301,0.899989,0.49874,0.922563,-0.00292032,0.00207085,-2.95909e-08,1.04471e-08,0.00205886,4.104e-06,0.000411785,5.48839e+06,0
1.3,0.512003,0.9,0.514066,0.899979,0.502505,0.922552,-0.00378812,0.00207606,-4.47058e-08,1.49753e-08,0.0020589,5.65457e-06,0.000413797,5.48839e+06,0
1.32,0.516896,0.9,0.519043,0.899964,0.504183,0.928052,-0.00391272,0.00196815,-7.34258e-08,2.22205e-08,0.00194458,7.31317e-06,0.000410973,5.44688e+06,0
1.34,0.522595,0.9,0.524464,0.899947,0.509604,0.928031,-0.00414039,0.00197783,-1.10967e-07,3.09391e-08,0.00194467,9.54143e-06,0.000412986,5.44688e+06,0
1.36,0.529095,0.9,0.531343,0.899925,0.516483,0.928003,-0.00411212,0.00199257,-1.71431e-07,4.27015e-08,0.00194482,1.23823e-05,0.000415,5.44688e+06,0
1.38,0.536395,0.9,0.538168,0.899903,0.523308,0.927975,-0.00438,0.0020071,-2.30483e-07,5.43495e-08,0.00194501,1.52149e-05,0.000417015,5.44688e+06,0
1.4,0.544495,0.9,0.546069,0.899872,0.531209,0.92794,-0.00537753,0.00202603,-3.12313e-07,6.8782e-08,0.00194527,1.85101e-05,0.000419031,5.44688e+06,0
1.42,0.553395,0.9,0.555026,0.899831,0.540166,0.927892,-0.00561392,0.00204983,-4.38619e-07,8.89678e-08,0.00194564,2.22638e-05,0.000421049,5.44688e+06,0
1.44,0.563089,0.9,0.564223,0.899788,0.545183,0.932236,-0.00597651,0.00196141,-5.34445e-07,1.05338e-07,0.00184359,2.46673e-05,0.000418048,5.23999e+06,0
1.46,0.573089,0.9,0.573985,0.899742,0.554945,0.932177,-0.00565041,0.0019893,-6.98425e-07,1.29731e-07,0.00184411,2.87488e-05,0.000420067,5.23999e+06,0
1.48,0.583089,0.9,0.583889,0.899697,0.564849,0.932121,-0.00560474,0.00201794,-8.57153e-07,1.53242e-07,0.00184472,3.29098e-05,0.000422087,5.23999e+06,0
1.5,0.593089,0.9,0.594223,0.899651,0.575183,0.932063,-0.00542503,0.00204893,-1.02711e-06,1.77693e-07,0.00184545,3.72723e-05,0.000424108,5.23999e+06,0
1.52,0.603089,0.9,0.603853,0.899606,0.580417,0.934916,-0.00624736,0.00196281,-1.06625e-06,1.88794e-07,0.00175369,3.9017e-05,0.000421015,4.99365e+06,0
1.54,0.613089,0.9,0.613264,0.89956,0.589829,0.934858,-0.0057804,0.00198888,-1.22481e-06,2.13553e-07,0.00175446,4.29802e-05,0.000423038,4.99365e+06,0
1.56,0.623089,0.9,0.623599,0.899508,0.600164,0.934798,-0.00646671,0.00201988,-1.39896e-06,2.38831e-07,0.0017554,4.73534e-05,0.000425062,4.99365e+06,0
1.58,0.633089,0.9,0.632746,0.899461,0.609311,0.934739,-0.00614696,0.00204461,-1.5537e-06,2.6398e-07,0.0017563,5.12425e-05,0.000427087,4.99365e+06,0
1.6,0.643089,0.9,0.642809,0.89941,0.619373,0.934677,-0.00621419,0.00207411,-1.72894e-06,2.90404e-07,0.00175738,5.55413e-05,0.000429113,4.99365e+06,0
1.62,0.653089,0.9,0.652787,0.899354,0.624308,0.936748,-0.00730595,0.00198712,-1.72728e-06,2.99331e-07,0.00167436,5.64759e-05,0.00042586,4.76401e+06,0
1.64,0.663089,0.9,0.662313,0.899298,0.633834,0.936678,-0.00658365,0.00201377,-1.91496e-06,3.28977e-07,0.00167548,6.0534e-05,0.000427888,4.76401e+06,0
1.66,0.673089,0.9,0.672649,0.899249,0.644169,0.93661,-0.00507343,0.00204477,-2.11123e-06,3.58101e-07,0.00167678,6.49578e-05,0.000429917,4.76401e+06,0
1.68,0.683089,0.9,0.682803,0.899205,0.654323,0.936559,-0.00568177,0.00207477,-2.25621e-06,3.80258e-07,0.00167814,6.93248e-05,0.000431947,4.76401e+06,0
1.7,0.693089,0.9,0.692291,0.89916,0.663812,0.936505,-0.00597692,0.00210123,-2.399e-06,4.03556e-07,0.0016795,7.34253e-05,0.000433979,4.76401e+06,0
1.72,0.703089,0.9,0.702355,0.899111,0.66777,0.937892,-0.0056998,0.00201173,-2.32456e-06,4.05729e-07,0.0016039,7.35199e-05,0.000430552,4.53819e+06,0
1.74,0.713089,0.9,0.712526,0.899062,0.677942,0.937834,-0.00595851,0.00204183,-2.48744e-06,4.30702e-07,0.00160544,7.79012e-05,0.000432585,4.53819e+06,0
1.76,0.723089,0.9,0.723187,0.899004,0.688602,0.93777,-0.0067858,0.00207466,-2.67325e-06,4.58193e-07,0.00160715,8.25149e-05,0.000434619,4.53819e+06,0
1.78,0.733089,0.9,0.732744,0.898947,0.698159,0.937706,-0.00702287,0.00210148,-2.84522e-06,4.86393e-07,0.00160877,8.6671e-05,0.000436655,4.53819e+06,0
1.8,0.743089,0.9,0.742586,0.898884,0.708001,0.937636,-0.00761147,0.00212979,-3.03298e-06,5.1659e-07,0.00161052,9.0971e-05,0.000438691,4.53819e+06,0
1.82,0.753089,0.9,0.752622,0.898819,0.7121,0.938888,-0.00721536,0.00203698,-2.9424e-06,5.2048e-07,0.00154122,9.02418e-05,0.000435078,4.2096e+06,0
1.84,0.763089,0.9,0.762488,0.898751,0.721966,0.938817,-0.00804037,0.00206542,-3.13575e-06,5.5147e-07,0.00154305,9.45371e-05,0.000437116,4.2096e+06,0
1.86,0.773089,0.9,0.7725,0.898682,0.731978,0.938736,-0.00834674,0.00209464,-3.35725e-06,5.86677e-07,0.00154499,9.89164e-05,0.000439156,4.2096e+06,0
1.88,0.783089,0.9,0.783035,0.898617,0.742513,0.938648,-0.00761344,0.00212676,-3.61005e-06,6.25313e-07,0.00154712,0.000103546,0.000441197,4.2096e+06,0
1.9,0.793089,0.9,0.793071,0.898559,0.752549,0.938572,-0.00746717,0.00215612,-3.81902e-06,6.59046e-07,0.00154925,0.000107977,0.000443239,4.2096e+06,0
1.92,0.803089,0.9,0.802955,0.89851,0.762434,0.938498,-0.00612951,0.00218466,-4.01733e-06,6.91787e-07,0.00155143,0.000112362,0.000445283,4.2096e+06,0
1.94,0.813089,0.9,0.813082,0.898461,0.77298,0.939584,-0.00720004,0.00208615,-3.79427e-06,6.82053e-07,0.00148745,0.000110695,0.000441396,3.06362e+06,0
1.96,0.823089,0.9,0.82287,0.898408,0.782768,0.939514,-0.00728871,0.00211418,-3.98129e-06,7.13185e-07,0.00148966,0.000115019,0.000443442,3.06362e+06,0
1.98,0.833089,0.9,0.833721,0.898343,0.793619,0.939435,-0.00850698,0.00214811,-4.21144e-06,7.48286e-07,0.00149221,0.000119835,0.000445488,3.06362e+06,0
2,0.843089,0.9,0.843252,0.898286,0.80315,0.939354,-0.00720612,0.0021748,-4.42124e-06,7.84436e-07,0.00149453,0.000124085,0.000447536,3.06362e+06,0
2.02,0.853089,0.9,0.853154,0.898239,0.81478,0.940056,-0.00603801,0.0020762,-4.18668e-06,7.75015e-07,0.0014353,0.000121879,0.000443523,2.69008e+06,0
2.04,0.863089,0.9,0.862604,0.898199,0.82423,0.939999,-0.00628387,0.00210246,-4.33076e-06,8.00353e-07,0.00143765,0.000126074,0.000445573,2.69008e+06,0
2.06,0.873089,0.9,0.872697,0.898154,0.834322,0.939935,-0.00643131,0.00213213,-4.5008e-06,8.28644e-07,0.00144024,0.000130576,0.000447625,2.69008e+06,0
2.08,0.883089,0.9,0.882697,0.89811,0.844322,0.939871,-0.00616717,0.00216128,-4.67136e-06,8.57465e-07,0.00144289,0.000135057,0.000449677,2.69008e+06,0
2.1,0.893089,0.9,0.892658,0.898066,0.854283,0.93981,-0.00665553,0.00219023,-4.83278e-06,8.85125e-07,0.00144563,0.000139542,0.000451731,2.69008e+06,0
2.12,0.903089,0.9,0.902213,0.898022,0.863838,0.939746,-0.00636228,0.00221704,-4.99358e-06,9.13889e-07,0.00144834,0.000143864,0.000453787,2.69008e+06,0
2.14,0.913089,0.9,0.911769,0.897983,0.875032,0.940201,-0.00579973,0.00211178,-4.66944e-06,8.94464e-07,0.0013929,0.000140662,0.000449481,2.4519e+06,0
2.16,0.923089,0.9,0.92179,0.897944,0.885053,0.940143,-0.00598104,0.00214105,-4.82182e-06,9.20626e-07,0.00139576,0.000145172,0.000451538,2.4519e+06,0
2.18,0.933089,0.9,0.931695,0.897908,0.894958,0.940084,-0.00493696,0.0021697,-4.97519e-06,9.47416e-07,0.00139868,0.000149651,0.000453597,2.4519e+06,0
2.2,0.943089,0.9,0.941546,0.897879,0.904809,0.940035,-0.0048034,0.00219806,-5.09838e-06,9.69518e-07,0.00140168,0.000154125,0.000455657,2.4519e+06,0
2.22,0.953089,0.9,0.951891,0.897855,0.915154,0.939986,-0.0035795,0.00222912,-5.22963e-06,9.92204e-07,0.00140491,0.000158846,0.000457718,2.4519e+06,0
2.24,0.963089,0.9,0.962411,0.897834,0.927546,0.940288,-0.00445074,0.00212768,-4.83443e-06,9.59702e-07,0.00135326,0.0001555,0.000453196,2.32775e+06,0
2.26,0.973089,0.9,0.972743,0.897815,0.937877,0.940243,-0.00320913,0.00215866,-4.95501e-06,9.80584e-07,0.00135652,0.000160189,0.00045526,2.32775e+06,0
2.28,0.983089,0.9,0.982464,0.897803,0.947598,0.940211,-0.00339986,0.00218633,-5.02915e-06,9.9483e-07,0.00135968,0.000164622,0.000457324,2.32775e+06,0
2.3,0.993089,0.9,0.993192,0.897793,0.958326,0.940175,-0.00256077,0.00221955,-5.12525e-06,1.01156e-06,0.00136327,0.000169536,0.000459391,2.32775e+06,0
2.32,1.00309,0.9,1.00298,0.897788,0.971408,0.940455,-0.00279719,0.00211524,-4.70701e-06,9.73399e-07,0.0013146,0.00016551,0.000454736,2.12948e+06,0
2.34,1.01309,0.9,1.013,0.89778,0.981421,0.940427,-0.00327513,0.00214447,-4.77426e-06,9.8618e-07,0.00131796,0.000170071,0.000456804,2.12948e+06,0
2.36,1.02309,0.9,1.02324,0.897771,0.991664,0.940393,-0.00304608,0.00217496,-4.85816e-06,1.00155e-06,0.0013215,0.000174758,0.000458874,2.12948e+06,0
2.38,1.03309,0.9,1.03327,0.897755,1.00169,0.940362,-0.0046339,0.00220428,-4.93193e-06,1.01562e-06,0.00132505,0.000179369,0.000460945,2.12948e+06,0
2.4,1.04309,0.9,1.04386,0.897732,1.01228,0.940313,-0.00420778,0.00223671,-5.06243e-06,1.03828e-06,0.0013289,0.000184259,0.000463017,2.12948e+06,0
